"","state_abbreviation","county","income","hispanic","white","college","density","female"
"243","CA","Yolo ",55918,31.5,48.3,37.9,197.9,51.3
"244","CA","Yuba ",44902,27.2,56.6,13.7,114.2,49.2
"245","CO","Adams ",56270,38.8,51.9,20.9,378.2,49.6
"246","CO","Alamosa ",34520,45.5,49.5,24.2,21.4,49.6
"247","CO","Arapahoe ",60651,18.8,62.1,38.8,716.7,50.7
"248","CO","Archuleta ",48933,18.6,76.9,32.9,8.9,49.9
"249","CO","Baca ",38829,10.5,85.5,17.2,1.5,50.1
"250","CO","Bent ",37340,31.8,58,8.8,4.3,35.6
"251","CO","Boulder ",67956,13.8,78.3,58.3,405.6,49.8
"252","CO","Broomfield ",77998,12,78,47.5,1691.9,50.4
"253","CO","Chaffee ",46504,10.2,85.4,33.9,17.6,47.2
"254","CO","Cheyenne ",51641,12.7,84.3,21.3,1,48.5
"255","CO","Clear Creek ",67259,5.5,90.7,39.8,23,48
"256","CO","Conejos ",34526,54.1,43.5,19.1,6.4,50.2
"257","CO","Costilla ",29145,64.3,32,19.5,2.9,47.6
"258","CO","Crowley ",31477,30.3,56.4,12.3,7.4,30.2
"259","CO","Custer ",32427,5.3,91.2,32.7,5.8,49.1
"260","CO","Delta ",42078,14.7,82.2,18.3,27.1,50.1
"261","CO","Denver ",50313,30.8,53.4,42.9,3922.6,50
"262","CO","Dolores ",37750,5.1,88.6,18.4,1.9,48
"263","CO","Douglas ",101591,8.3,83.9,55.8,339.7,50.3
"264","CO","Eagle ",74456,30,67.1,47,31,47
"265","CO","Elbert ",82118,6.4,89.7,29.6,12.5,49.8
"266","CO","El Paso ",57125,16.3,70.3,35.2,292.6,49.6
"267","CO","Fremont ",39943,13,79.4,15.6,30.5,42.3
"268","CO","Garfield ",57022,28.1,68.8,26.6,19.1,48.9
"269","CO","Gilpin ",63885,6.4,87.4,29.1,36.3,47.3
"270","CO","Grand ",64664,8,88.8,32.8,8,47
"271","CO","Gunnison ",52332,9.3,87.5,54.5,4.7,45.9
"272","CO","Hinsdale ",56667,3.7,92.6,42.2,0.8,48.2
"273","CO","Huerfano ",33298,34.4,61.7,28,4.2,49.6
"274","CO","Jackson ",43606,11,86.3,22.2,0.9,46.7
"275","CO","Jefferson ",68984,15.2,78.8,40.7,699.5,50.3
"276","CO","Kiowa ",40813,6.3,91.4,20.6,0.8,50.8
"277","CO","Kit Carson ",44157,19.3,76.1,13.5,3.8,44.8
"278","CO","Lake ",44610,37.8,59.2,28.1,19.4,46.7
"279","CO","La Plata ",58080,12.6,79.2,41.4,30.3,49.2
"280","CO","Larimer ",58626,11.1,83.5,43.8,115.4,50.2
"281","CO","Las Animas ",42261,42.5,52.7,16.3,3.2,48.4
"282","CO","Lincoln ",41910,13.4,78.4,15.6,2.1,40.9
"283","CO","Logan ",40415,16.1,76.9,15.8,12.4,43.5
"284","CO","Mesa ",49471,14.1,82,25.7,44.1,50.3
"285","CO","Mineral ",47083,4.4,92.8,39.3,0.8,47.6
"286","CO","Moffat ",53231,14.3,82.2,15.6,2.9,48.1
"287","CO","Montezuma ",43188,12.2,73.2,27.3,12.6,50.3
"288","CO","Montrose ",45718,20.2,76.5,24.5,18.4,50.8
"289","CO","Morgan ",43774,35.3,60.1,15.1,22,50.2
"290","CO","Otero ",33848,41,55.4,15.5,14.9,50.4
"291","CO","Ouray ",64601,5.5,91.9,47.5,8.2,50.9
"292","CO","Park ",61570,6.2,89.5,32,7.4,47.3
"293","CO","Phillips ",43011,20.6,76.6,16.8,6.5,50.4
"294","CO","Pitkin ",72745,9.9,86.5,56.8,17.7,47.6
"295","CO","Prowers ",34391,36.4,61,14.1,7.7,49.9
"296","CO","Pueblo ",41777,42.5,52.9,21.5,66.7,50.7
"297","CO","Rio Blanco ",60128,11.1,84.1,23.1,2.1,48.1
"298","CO","Rio Grande ",38993,44.2,53,20.3,13.1,50.1
"299","CO","Routt ",62002,7,90.1,48,10,47.6
"300","CO","Saguache ",34600,38.3,57.4,23.8,1.9,49.5
